TOTAL UNIQUE: 273
安全件批准版本记录	npd:P3
安全验证项目与判定标准	npd:P3
安规与认证报告	npd:P5,jdm:P4
客户 DVT 确认记录	jdm:P4
客户 golden sample 签样记录	jdm:P5
客户外观签核记录	jdm:P2
客户放行记录	obt:P3
客户样品确认记录	obt:P2
客户样机确认记录	jdm:P3
客户签样记录	obt:P2
小批试产报告	obt:P3
工程变更 ECN 记录	npd:P7
市场上市计划	idr:P4
市场与售后影响跟踪报表	derivative:P6
市场调研报告	npd:P1
库存处理方案	eco:P4
影响分析报告	eco:P1
影响分析矩阵	idr:P1
性能/寿命设计边界	derivative:P2
性能测试报告 (PT)	npd:P4,jdm:P3
投模评审/开模批准记录	derivative:P2
报价	obt:P1
整机功能与兼容回归报告	derivative:P3
文件与认证资料发布记录	idr:P4
料件齐套与替代料策略	obt:P1
新旧版本对比报告	derivative:P3
更新BOM	idr:P2
更新后的BOM	eco:P2
更新后的SOP/WI	eco:P4
更新后的原理图/PCB	eco:P2
机芯/泵体升级设计包	derivative:P2
样品与报价	npd:P2
核心技术 POC 报告	npd:P1
模具 T1/T2 样品	jdm:P4
模具 T1/T2 试模报告	npd:P5
模具/治具归属与 NRE 确认	obt:P1
模具T1样品	npd:P5
模具可行性评估	npd:P3
模具开发计划	derivative:P2
模具费用与周期确认	derivative:P2
模具问题清单	derivative:P4
模块复用策略与影响分析	derivative:P1,derivative:P2
治具/EOL测试程序验收	derivative:P5
治具与测试程序	npd:P6,jdm:P5
测试程序与治具	obt:P2
版本/接口/OTA回归范围	derivative:P2
版本切换与库存处理方案	derivative:P5
版本切换计划	idr:P4
版本文件发布记录	derivative:P5
现有设计基线包	idr:P1
用户旅程地图	npd:P1
用户痛点 Top10	npd:P1
用户访谈纪要	npd:P1
电子原理图	npd:P3
电池/电源升级设计包	derivative:P2
电芯/电池包安全认证报告或复用确认	npd:P5,npd:P6,derivative:P2,derivative:P4,derivative:P5,jdm:P5
电芯供应商整改闭环记录	npd:P3
电芯供应风险清单	npd:P2
电芯厂质量审核或复用资质确认	npd:P3
电芯复用/定点与二供策略	npd:P2
电芯规格书与既有认证资料	npd:P2
目标成本与定价分析	npd:P1
硬件影响确认	idr:P2
立项申请书	npd:P1
立项评审记录	npd:P1
竞品对比矩阵	npd:P1
结构 3D 设计	npd:P3
结构与装配验证报告	idr:P3
结构变更设计包	eco:P2
结构设计包	derivative:P2
翻新需求与边界定义	idr:P1
良率分析与改善	obt:P3
良率分析与改善报告	npd:P6,obt:P3
良率周报	npd:P7,jdm:P6,obt:P4
良率报告	npd:P6,jdm:P5
良率改善报告	derivative:P5
良率数据	npd:P6
良率监控报表	npd:P7
装配/公差/材料方案	derivative:P2
规格确认书（客户签字）	jdm:P1
认证前置依赖与送样计划	npd:P2
认证影响评估报告	eco:P2
认证报告	npd:P5
认证更新/重认证报告	idr:P3
认证更新记录	idr:P3
认证补测/复用确认	derivative:P2,derivative:P4,derivative:P5
认证路径预判	idr:P1
认证路线图	npd:P2
认证路线图初判	npd:P1
设计冻结评审记录	npd:P3,idr:P2,jdm:P2
设计变更冻结记录	eco:P2
设计输入冻结确认（客户）	obt:P1
试产 Build Record	npd:P6
试产/首批量产产品	idr:P4
试产50-300台	npd:P6
试产良率数据	derivative:P5
试产计划	npd:P6,jdm:P5
试产问题关闭报告	derivative:P5
试产（50-300台）报告	jdm:P5
资源与供应商确认清单	eco:P1
软件/固件升级设计包	derivative:P2
软件功能完整测试报告	npd:P5
软件变更版本说明	eco:P2
软件完整测试报告	derivative:P4
软件架构文档	npd:P3
软硬件联调报告	npd:P4
软硬件联调记录	jdm:P3
迭代立项评审记录	derivative:P1
迭代量产发布评审记录	derivative:P5
迭代需求书	derivative:P1
迭代项目关闭报告	derivative:P6
迭代项目关闭评审记录	derivative:P6
迭代项目计划	derivative:P1
量产产品	npd:P7,jdm:P6,obt:P4
量产工艺评估报告	npd:P5
量产测试设备清单	npd:P5
销量预测模型	npd:P1
长交期/单一来源料件清单	npd:P2
问题清单	eco:P3,jdm:P3
问题清单 (Issue List)	npd:P4
限度样本	derivative:P4
限度样本与检验标准	npd:P6
项目甘特图	npd:P2
项目计划	idr:P1,jdm:P1,obt:P1
市场与渠道反馈清单	idr:P5
版本资料移交清单	idr:P5
IDR项目关闭报告	idr:P5
首批量产稳定性报告	idr:P5
首件样品	obt:P2
首批量产 Build Record	npd:P7,jdm:P6,obt:P4
验证与认证评审记录	idr:P3
验证样机	idr:P3
